id_saisi,ecole_id,genre_saisi,anciennete,vague,visite1,visite2,visite3,visite4
T-000001,E00001,1,0,3,1,1,1,1
T-000002,E00001,1,2,3,1,1,1,1
T-000003,E00001,2,19,3,1,1,1,1
T-000004,E00001,1,6,3,1,1,1,1
T-000005,E00002,1,11,3,1,1,1,1
T-000006,E00002,2,5,3,1,1,1,1
T-000007,E00002,2,4,3,1,1,1,1
T-000008,E00002,2,13,3,1,1,1,1
T-000009,E00002,2,0,3,1,0,1,0
T-000080,E00003,1,0,3,1,1,1,1
T-000011,E00003,2,6,3,1,NA,1,1
T-000012,E00003,1,18,3,1,0,1,1
T-000013,E00004,1,5,3,1,1,1,1
T-000014,E00004,2,12,3,NA,1,1,0
T-000016,E00004,2,8,3,1,1,1,0
T-000018,E00004,2,16,3,0,1,1,1
T-000020,E00004,1,5,3,0,1,1,1
T-000021,E00005,2,13,3,1,0,1,0
T-000022,E00005,1,23,3,1,1,1,1
T-000023,E00005,2,15,3,1,1,0,0
T-000024,E00005,2,7,3,1,1,0,0
T-000025,E00006,2,3,3,1,1,1,1
T-000027,E00007,1,20,3,1,1,1,1
T-000028,E00007,2,21,3,1,1,1,1
T-000029,E00007,1,13,3,1,1,1,1
T-000030,E00007,2,18,3,1,0,1,1
T-000031,E00007,2,10,3,1,1,1,1
T-030032,E00007,1,13,3,1,1,0,1
T-000034,E00008,2,0,3,0,0,1,1
T-000035,E00008,2,0,3,1,0,1,0
T-000036,E00008,2,20,3,1,0,1,1
T-000039,E00009,2,17,3,1,1,1,1
T-000038,E00009,2,10,3,1,1,1,1
T-000039,E00009,1,9,3,1,1,1,1
T-000040,E00009,2,0,3,1,1,1,1
T-000041,E00009,2,8,3,1,1,1,1
T-000042,E00009,2,15,3,1,1,1,1
9-000043,E00009,1,3,3,1,1,1,1
T-000044,E00009,2,4,3,1,1,1,1
T-000045,E00009,2,19,3,1,1,1,1
T-000046,E00009,2,7,3,0,1,1,1
T-000047,E00010,1,3,3,1,1,1,1
T-000048,E00010,2,3,3,0,1,1,0
T-000049,E00010,2,14,3,1,1,0,0
T-000051,E00010,2,11,3,1,1,1,1
T-000055,E00011,2,9,3,1,NA,1,1
T-000056,E00011,2,15,3,1,1,1,1
T-000057,E00011,2,12,3,1,1,1,1
T-000058,E00012,2,12,3,1,1,1,1
T-000059,E00012,1,9,3,1,1,1,1
T-000060,E00012,1,0,3,1,0,1,1
T-000061,E00012,2,12,3,1,0,1,1
T-000062,E00012,2,14,3,0,1,1,1
T-000063,E00012,2,5,3,1,1,1,1
T-000064,E00013,2,0,3,1,1,1,1
T-000065,E00013,2,9,3,1,0,1,1
T-000066,E00013,1,11,3,1,1,1,1
T-000067,E00013,1,15,3,1,1,1,0
T-000068,E00013,2,3,3,1,1,1,1
T-000069,E00013,2,18,3,1,1,1,1
T-000071,E00013,1,18,3,1,1,1,1
T-000072,E00013,2,4,3,1,1,1,1
T-000073,E00013,2,7,3,1,1,1,1
T-000074,E00013,2,0,3,1,1,0,1
T-000075,E00014,1,0,3,0,0,1,NA
T-000076,E00014,1,26,3,1,1,1,1
T-000077,E00014,1,20,3,1,1,1,1
T-000078,E00014,1,1,3,1,0,1,1
T-000049,E00014,2,5,3,0,0,1,1
T-000780,E00014,2,14,3,1,1,0,1
T-000081,E00015,2,6,3,1,1,1,1
T-000082,E00015,1,3,3,1,1,1,1
T-000083,E00015,2,27,3,1,1,1,1
T-000084,E00015,1,2,3,1,1,1,1
T-000085,E00016,2,10,3,0,1,1,0
T-000097,E00016,2,6,3,1,1,1,1
T-000088,E00016,1,19,3,1,1,1,1
T-000089,E00016,1,14,3,1,1,1,1
T-000091,E00016,1,9,3,1,1,1,1
T-000092,E00016,2,14,3,1,1,1,1
T-000093,E00016,1,13,3,1,1,1,1
T-000094,E00016,2,19,3,1,1,1,1
T-000095,E00016,2,8,3,1,1,1,1
T-000497,E00016,1,5,3,1,1,1,1
T-000098,E00016,1,9,3,0,1,1,1
T-000100,E00017,2,12,3,1,1,1,1
T-000102,E00017,2,15,3,1,1,1,0
T-004103,E00017,2,4,3,1,1,0,1
T-000104,E00018,2,5,3,NA,1,0,0
T-000105,E00018,2,12,3,1,1,0,1
T-000106,E00018,2,0,3,0,0,0,NA
T-000107,E00018,1,6,3,1,1,0,1
T-000508,E00018,2,18,3,NA,1,1,1
T-000109,E00019,2,3,3,1,0,0,0
T-000110,E00019,2,18,3,1,1,1,1
T-000111,E00020,1,12,3,1,1,1,1
T-000112,E00020,1,7,3,0,1,1,1
T-000113,E00020,1,14,3,1,1,1,1
T-000114,E00021,2,3,3,1,1,1,1
T9000115,E00021,1,0,3,0,1,0,0
T-000116,E00021,2,15,3,NA,1,1,1
T-000117,E00021,2,8,3,1,1,1,1
T-000118,E00021,2,5,3,1,1,1,0
T-000120,E00021,2,16,3,0,1,0,0
T-000121,E00021,2,11,3,1,1,1,NA
T-000122,E00022,2,4,3,1,1,1,1
T-000123,E00022,1,0,3,1,1,NA,1
T-000124,E00022,2,7,3,1,1,NA,NA
T-000125,E00022,2,0,3,0,NA,0,0
T-000127,E00022,2,0,3,1,0,1,1
8-000129,E00023,2,5,3,0,1,1,1
T-000130,E00023,2,11,3,1,1,1,0
T-000132,E00024,1,11,3,1,1,1,0
T-000134,E00024,1,14,3,1,1,1,1
T-000134,E00025,1,8,3,1,1,1,1
T-000135,E00025,2,8,3,1,0,1,1
T-000136,E00025,2,13,3,1,1,1,1
T-000138,E00025,2,12,3,0,0,1,1
T-000139,E00025,2,8,3,1,1,1,1
T-000143,E00025,1,6,3,1,1,1,1
T-009141,E00025,1,18,3,1,1,1,0
T-000142,E00025,2,14,3,1,1,1,1
T-000144,E00025,1,4,3,0,1,0,1
T-000145,E00025,1,9,3,1,NA,1,1
T-000146,E00025,2,9,3,1,1,0,1
T-000147,E00025,1,9,3,1,1,1,1
T-000148,E00025,2,14,3,1,1,1,1
T-000149,E00025,2,0,3,1,0,1,1
T-000150,E00025,2,0,3,1,1,1,1
T-000151,E00025,1,10,3,1,1,1,1
T-000152,E00026,1,10,3,1,0,1,1
T-000154,E00026,2,0,3,1,1,NA,0
T-000155,E00026,1,0,3,0,1,1,1
T-000156,E00026,1,9,3,NA,0,1,1
T-000157,E00026,1,10,3,1,1,NA,0
T-000158,E00026,2,8,3,1,1,NA,1
T-000159,E00027,2,12,3,0,0,1,0
T-000160,E00027,2,15,3,1,1,1,1
T-000161,E00027,2,0,3,1,1,1,1
T-000162,E00027,2,2,3,1,0,1,1
T-000163,E00028,1,0,3,1,1,1,1
T-000164,E00028,2,4,3,1,0,1,1
T-000165,E00029,2,16,3,0,1,1,1
T-000166,E00029,2,18,3,1,1,1,1
T-000167,E00029,1,3,3,0,0,1,0
T-000168,E00029,2,10,3,1,1,1,1
T-000169,E00029,1,2,3,1,1,NA,1
T-000170,E00030,2,10,3,0,1,1,1
T-000171,E00030,2,2,3,1,NA,1,1
T-000172,E00030,1,0,3,1,1,0,1
T-000173,E00030,2,9,3,NA,1,1,1
T0000176,E00032,2,8,3,0,NA,0,1
T-000179,E00032,2,0,3,1,1,0,1
T-000180,E00033,2,11,3,1,1,1,1
T-000181,E00033,2,14,3,1,0,0,1
T-000182,E00033,2,5,3,1,0,1,1
T-000183,E00034,2,13,3,1,1,1,1
T-000185,E00034,2,16,3,1,1,0,1
T-000186,E00034,1,7,3,1,1,1,1
T-000187,E00035,2,4,3,1,1,NA,1
T-000188,E00035,2,0,3,1,1,1,1
T-000189,E00035,2,7,3,1,1,1,1
T-000190,E00035,2,12,3,1,1,1,NA
T-000193,E00036,2,3,3,1,1,1,1
T-000194,E00036,2,13,3,NA,1,1,1
T-000196,E00036,2,16,3,1,1,1,1
T-000197,E00036,1,4,3,1,1,1,1
T-000198,E00037,2,7,3,1,1,1,1
T-000199,E00037,2,12,3,1,1,1,1
T-000200,E00037,2,0,3,1,1,1,1
T-000202,E00037,1,11,3,1,1,1,1
T-000203,E00037,2,21,3,1,NA,1,1
T-000204,E00037,1,12,3,1,1,1,1
T-000205,E00037,1,0,3,1,1,1,0
T-000206,E00037,2,1,3,1,1,1,1
T-000207,E00037,1,12,3,1,1,1,1
T-000208,E00037,1,4,3,1,1,1,1
T-060210,E00038,1,18,3,1,1,0,NA
T-000212,E00039,2,23,3,1,1,0,1
T-000214,E00040,1,4,3,1,1,1,1
T-000215,E00040,2,13,3,1,1,1,1
T-000217,E00040,1,3,3,1,1,1,1
T-000218,E00040,1,6,3,1,1,1,1
T-000219,E00040,1,11,3,1,0,1,0
T-000220,E00040,1,19,3,1,1,1,1
T-000221,E00041,1,14,3,1,0,1,1
T-000223,E00041,2,7,3,1,1,1,1
T-000224,E00041,1,1,3,1,1,1,1
T-000225,E00041,2,12,3,1,0,1,1
T-000226,E00041,2,6,3,1,0,1,1
T-000227,E00042,1,2,3,1,0,1,1
T-000228,E00042,1,7,3,1,1,1,1
T-000229,E00043,1,1,3,0,1,1,1
T-000230,E00043,1,16,3,0,0,1,1
T-000232,E00043,1,12,3,1,0,1,1
T-000233,E00043,2,7,3,0,1,1,1
T-000234,E00043,1,11,3,1,1,1,1
T-000235,E00043,2,11,3,1,1,1,1
T-000236,E00044,2,17,3,1,1,1,1
T-000237,E00044,2,10,3,0,1,0,0
T-000238,E00044,1,13,3,1,1,1,1
T-000239,E00044,1,0,3,0,1,NA,1
T-000240,E00044,1,0,3,1,1,0,1
T-000241,E00045,2,14,3,0,NA,0,1
T-000242,E00045,2,7,3,1,1,1,1
T-000243,E00045,2,7,3,0,1,1,1
T-000244,E00045,1,9,3,0,1,1,1
T-000245,E00046,2,12,3,1,1,1,1
T-000246,E00046,2,5,3,1,1,1,1
T-000247,E00046,2,12,3,1,1,1,1
T-000248,E00046,1,6,3,1,1,1,1
T-000249,E00047,2,0,3,0,0,1,1
T-000250,E00047,1,0,3,0,1,0,0
