eleve_id,atteint_seuil,theta_hat,milieu,langue_maison,genre,handicap,reform,g_ia,remoteness_s,ptr,att_school
S00001,0,-0.4682938556606302,urbain,français,H,0,0,-1.961883486465059,0.3622653303373413,61.03533984740864,0.6103130975362554
S00002,0,-2.1802024913369022,urbain,wolof,H,0,0,-0.5589055756131087,0.5073489228374313,49.87815684458967,0.7415979285710192
S00003,0,-0.3420298864964182,urbain,wolof,F,0,0,1.1358119908378483,0.11599231537874756,37.40371049973373,0.920824339874619
S00004,0,-1.2774995080246132,urbain,wolof,H,0,0,-0.09886818526410894,0.42663874671065144,46.738161925935415,0.7943510423041089
S00005,1,0.49232176599808375,urbain,wolof,F,0,0,1.1358119908378483,0.10769289424842315,40.79036661906394,0.8970668613229908
S00006,1,0.0547805667291178,rural,autre,F,0,0,-0.09886818526410894,0.4518139636692907,55.85886346524287,0.8073455243516109
S00007,0,-1.1000292244398968,rural,autre,H,0,1,0.5436260064330518,0.6442210778215918,38.1062700181156,0.7708041048029568
S00008,1,0.12647325415776844,rural,wolof,F,0,0,-0.09886818526410894,0.3220186864307178,49.268245264996715,0.7852900388763567
S00009,0,-0.3721641318850624,urbain,wolof,F,0,0,-1.961883486465059,0.2909117190985104,41.51350106378763,0.5930545692809281
S00010,1,0.3156526388554916,rural,wolof,H,0,1,1.508379536169013,0.4287447431146935,29.963220089903263,0.8588740274536606
S00011,1,0.03533328310189464,urbain,français,F,0,0,1.1358119908378483,0.10594117925400778,36.744940942744634,0.923204511992509
S00012,0,-0.7523232151522011,rural,autre,F,0,1,-1.7249192939776967,0.5097154429939734,42.66446478133298,0.5383350993105971
S00013,0,-0.7230835223185518,urbain,français,F,0,1,-0.5950300302811243,0.8160950993415477,41.76215687505671,0.5982593719085514
S00014,1,0.9241119411215317,urbain,français,H,0,1,-0.6770804424361538,0.00486743150751362,28.670932568860632,0.7965013603474164
S00015,1,0.11034125254904663,rural,wolof,H,0,0,-0.09886818526410894,0.3249096389746468,34.59397449715245,0.7701409770783559
S00016,1,0.029073090569270148,urbain,français,H,0,0,-0.5589055756131087,0.3579403924843355,55.74599275963066,0.7458161185151762
S00017,1,0.26003137865397513,rural,wolof,F,0,1,1.508379536169013,0.37111186039315336,27.1018635885065,0.8836802928464612
S00018,0,-1.0577090080509315,urbain,français,H,1,0,-0.09886818526410894,0.2564238461736586,59.872277676304854,0.8126381433249972
S00019,1,2.080455026203281,urbain,français,F,0,0,1.050436228132796,0.2049703681143306,38.948646491169555,0.8875445588682513
S00020,0,-0.5740393546748613,urbain,français,F,0,0,-0.09886818526410894,0.28134283669216975,40.07986723394349,0.72571693328516
S00021,0,-0.9489242497678,urbain,wolof,H,1,0,-0.09886818526410894,0.3437128755722031,41.495566816861135,0.8175306086367036
S00022,1,0.24675460265914093,urbain,autre,H,0,1,-0.6770804424361538,0,38.38756813193581,0.821725718040881
S00023,0,-1.4043530961293167,urbain,wolof,H,0,0,-1.961883486465059,0.2969100506288152,54.82962931442139,0.604942041732642
S00024,0,-0.0931444192656239,urbain,français,F,0,0,-0.5589055756131087,0.48452069301230694,63.861572154385755,0.7305278786394835
S00025,1,0.17853147667819158,urbain,wolof,H,0,0,0.4625650775900469,0.04398974111912341,47.42452795852671,0.8576744389153469
S00026,0,-1.386982644283539,rural,wolof,F,0,0,-0.4962851679537585,0.952723506796724,56.13922373776416,0.6789840689739323
S00027,1,2.139508369085869,urbain,français,F,0,1,-0.6770804424361538,0.01634701905894755,30.28384002833165,0.8041869225811339
S00028,0,-0.673318354262776,urbain,wolof,F,0,1,-0.5950300302811243,0.6649051546856647,45.809110042693405,0.6581162753644205
S00029,1,0.5542328426876352,urbain,français,F,0,0,0.8036427494500231,0.688352115879277,55.6236722860924,0.7254071080846825
S00030,1,0.8494106947101999,rural,wolof,H,0,0,0.7594385270695994,0.303984544980925,51.88147872792074,0.9244059690102492
S00031,0,-0.742966575796305,urbain,wolof,F,0,0,1.1358119908378483,0.09280830336837265,40.8404908347721,0.8942543108641501
S00032,1,1.0382773538640695,urbain,wolof,H,1,0,1.050436228132796,0.1970893196214375,39.69103274178491,0.8830965510633257
S00033,1,0.08303133035658924,rural,wolof,H,0,1,0.5436260064330518,0.5650546734970864,31.890128290654182,0.8049547418882033
S00034,1,0.4542589109409048,rural,wolof,F,0,0,0.8036427494500231,0.6885653927111028,63.90762684627665,0.7293802333665098
S00035,0,-0.07051414463896204,rural,français,F,0,0,-0.09886818526410894,0.34664311244575663,56.0823062329351,0.7959962035236433
S00036,0,-1.6829453385539657,urbain,wolof,F,1,0,-1.961883486465059,0.22479670656477457,49.13872820480784,0.5610522670944913
S00037,0,-2.1802024913369022,rural,autre,F,1,1,-0.5950300302811243,0.800264377709209,47.64286048559307,0.5144183556234754
S00038,1,1.5813894342560098,urbain,français,F,0,1,-0.6770804424361538,0.10085299530484455,33.67261854578183,0.8212895744720656
S00039,0,-0.5129506855502555,urbain,français,F,0,1,-0.5128143979953421,0.7441835259370875,45.20567089205976,0.6590187290729547
S00040,0,-1.103361267606242,rural,français,H,0,1,-1.7249192939776967,0.6242145799998959,44.589479194122795,0.4584045961230761
S00041,1,0.2643137798907654,urbain,wolof,H,0,0,1.1358119908378483,0.08902482977921179,37.950424991192136,0.9061044839689336
S00042,0,-0.1948959941236711,rural,wolof,H,0,0,-0.09886818526410894,0.27677541325591115,55.126082778048826,0.7316580482720554
S00043,1,0.4607314020950695,urbain,français,F,0,1,0.5436260064330518,0.5177011972465582,31.957311386472703,0.8365706081847106
