id_saisi,ecole_id,genre_saisi,anciennete,vague,visite1,visite2,visite3,visite4
T000001,E00001,F,0,1,présent,présent,présent,absent
T000002,E00001,F,2,1,absent,absent,présent,absent
T007003,E00001,H,19,1,absent,présent,présent,présent
T000004,E00001,F,6,1,absent,absent,présent,absent
T000005,E00002,F,11,1,présent,présent,présent,présent
T000006,E00002,H,5,1,présent,présent,présent,présent
T000007,E00002,H,4,1,NA,présent,présent,présent
T000068,E00002,H,13,1,présent,présent,présent,présent
T000009,E00002,H,0,1,présent,présent,absent,présent
T000010,E00003,F,0,1,absent,présent,présent,présent
T000011,E00003,H,6,1,absent,absent,présent,présent
T000012,E00003,F,18,1,présent,présent,présent,absent
T000013,E00004,F,5,1,présent,présent,présent,présent
T000014,E00004,H,12,1,présent,NA,présent,présent
T000015,E00004,H,13,1,présent,présent,présent,présent
T000016,E00004,H,8,1,absent,absent,présent,présent
T000017,E00004,F,4,1,présent,présent,présent,présent
T000018,E00004,H,16,1,présent,présent,présent,présent
T000019,E00004,H,13,1,absent,présent,présent,présent
T000020,E00004,F,5,1,présent,présent,présent,présent
T000021,E00005,H,13,1,absent,présent,absent,NA
T000022,E00005,F,23,1,présent,absent,présent,absent
T000023,E00005,H,15,1,présent,présent,présent,présent
T000024,E00005,H,7,1,présent,présent,absent,présent
T000065,E00006,H,3,1,présent,présent,présent,absent
T000026,E00006,H,0,1,absent,présent,présent,présent
T000027,E00007,F,20,1,présent,présent,présent,présent
0000028,E00007,H,21,1,absent,présent,présent,présent
T000029,E00007,F,13,1,présent,présent,présent,présent
T000030,E00007,H,18,1,présent,présent,présent,présent
T000031,E00007,H,10,1,présent,absent,présent,NA
5000032,E00007,F,13,1,présent,présent,présent,présent
T000033,E00008,H,11,1,absent,présent,présent,absent
T000034,E00008,H,0,1,présent,absent,absent,présent
T006035,E00008,H,0,1,présent,présent,présent,absent
T000036,E00008,H,20,1,présent,présent,présent,présent
T000037,E00009,H,17,1,présent,présent,présent,présent
T000038,E00009,H,10,1,absent,présent,présent,présent
T000039,E00009,F,9,1,présent,absent,présent,présent
T000040,E00009,H,0,1,présent,présent,absent,présent
T000041,E00009,H,8,1,présent,présent,présent,présent
T000042,E00009,H,15,1,présent,présent,présent,NA
T200043,E00009,F,3,1,présent,présent,NA,présent
T000044,E00009,H,4,1,présent,présent,présent,présent
T000045,E00009,H,19,1,présent,présent,présent,absent
T000046,E00009,H,7,1,présent,présent,NA,présent
T000047,E00010,F,3,1,présent,présent,présent,présent
T000048,E00010,H,3,1,présent,absent,absent,absent
2000049,E00010,H,14,1,présent,présent,présent,présent
T000050,E00010,H,13,1,absent,présent,présent,absent
T000051,E00010,H,11,1,absent,présent,absent,absent
T000052,E00010,F,10,1,présent,absent,absent,présent
T000053,E00011,F,8,1,absent,absent,absent,absent
T009054,E00011,F,9,1,présent,présent,absent,présent
T000055,E00011,H,9,1,absent,présent,absent,présent
T000056,E00011,H,15,1,présent,présent,présent,présent
T000057,E00011,H,12,1,présent,présent,présent,présent
