ia_id,ia_name,region,poids,remoteness,g_ia,reform
IA01,Dakar,Dakar,0.21782178217821782,0.05,1.1358119908378483,0
IA02,Pikine-Guédiawaye,Dakar,0.21782178217821782,0.05,-0.6770804424361538,1
IA03,Rufisque,Dakar,0.21782178217821782,0.05,0.46256507759004684,0
IA04,Thiès,Thiès,0.12871287128712872,0.15,1.0504362281327961,0
IA05,Diourbel,Diourbel,0.0891089108910891,0.3,-1.961883486465059,0
IA06,Saint-Louis,Saint-Louis,0.06930693069306931,0.35,-0.09886818526410894,0
IA07,Kaolack,Kaolack,0.07920792079207921,0.3,0.7594385270695994,0
IA08,Louga,Louga,0.0594059405940594,0.45,-0.5589055756131087,0
IA09,Fatick,Fatick,0.0594059405940594,0.4,1.508379536169013,1
IA10,Kaffrine,Kaffrine,0.04950495049504951,0.55,-1.7249192939776967,1
IA11,Ziguinchor,Ziguinchor,0.04950495049504951,0.55,0.5436260064330518,1
IA12,Kolda,Kolda,0.04950495049504951,0.7,0.8036427494500231,0
IA13,Tambacounda,Tambacounda,0.0594059405940594,0.75,-0.5950300302811243,1
IA14,Matam,Matam,0.039603960396039604,0.65,0.361886464303974,0
IA15,Sédhiou,Sédhiou,0.0297029702970297,0.7,-0.5128143979953421,1
IA16,Kédougou,Kédougou,0.019801980198019802,0.9,-0.4962851679537585,0
