doc_id,date,phase,topic,max_prob
ECB_20150128_pre,2015-01-28,low_rate,0,0.727135286854279
ECB_20150130_pol,2015-01-30,low_rate,0,1.0
ECB_20150117_acc,2015-01-17,low_rate,0,0.5000176010357215
ECB_20150402_pre,2015-04-02,low_rate,0,0.7526896014349588
ECB_20150428_pol,2015-04-28,low_rate,0,0.9065000964028505
ECB_20150406_acc,2015-04-06,low_rate,0,1.0
ECB_20150716_pre,2015-07-16,low_rate,0,0.4767074311085036
ECB_20150708_pol,2015-07-08,low_rate,0,0.7437111479763954
ECB_20150703_acc,2015-07-03,low_rate,0,0.8267127492658259
ECB_20150930_pre,2015-09-30,low_rate,0,1.0
ECB_20151007_pol,2015-10-07,low_rate,4,0.5608024546270098
ECB_20151020_acc,2015-10-20,low_rate,4,1.0
ECB_20160119_pre,2016-01-19,low_rate,0,0.8694970042865287
ECB_20160116_pol,2016-01-16,low_rate,0,1.0
ECB_20160102_acc,2016-01-02,low_rate,0,0.34941252866781236
ECB_20160423_pre,2016-04-23,low_rate,4,0.4249611490349687
ECB_20160401_pol,2016-04-01,low_rate,0,0.7947619960977013
ECB_20160403_acc,2016-04-03,low_rate,4,0.43907283786961127
ECB_20160728_pre,2016-07-28,low_rate,0,1.0
ECB_20160711_pol,2016-07-11,low_rate,0,1.0
ECB_20160713_acc,2016-07-13,low_rate,0,1.0
ECB_20161024_pre,2016-10-24,low_rate,0,0.6227714057767842
ECB_20161009_pol,2016-10-09,low_rate,0,0.34357066406445336
ECB_20161010_acc,2016-10-10,low_rate,0,0.699216873502911
ECB_20170127_pre,2017-01-27,low_rate,4,0.337425539752691
ECB_20170115_pol,2017-01-15,low_rate,4,1.0
ECB_20170118_acc,2017-01-18,low_rate,0,1.0
ECB_20170421_pre,2017-04-21,low_rate,0,0.7385108984531112
ECB_20170411_pol,2017-04-11,low_rate,0,1.0
ECB_20170425_acc,2017-04-25,low_rate,0,0.512050068509986
ECB_20170721_pre,2017-07-21,low_rate,0,0.8183122267583385
ECB_20170723_pol,2017-07-23,low_rate,0,1.0
ECB_20170722_acc,2017-07-22,low_rate,0,0.8246580606162284
ECB_20171022_pre,2017-10-22,low_rate,0,0.7751188972957116
ECB_20171024_pol,2017-10-24,low_rate,0,0.8215465306620143
ECB_20171012_acc,2017-10-12,low_rate,0,0.44117559595631606
ECB_20180124_pre,2018-01-24,low_rate,0,0.7375544284574614
ECB_20180129_pol,2018-01-29,low_rate,0,1.0
ECB_20180124_acc,2018-01-24,low_rate,0,1.0
ECB_20180425_pre,2018-04-25,low_rate,4,0.5942860650793816
ECB_20180419_pol,2018-04-19,low_rate,0,1.0
ECB_20180418_acc,2018-04-18,low_rate,0,0.6663919772812733
ECB_20180705_pre,2018-07-05,low_rate,0,0.8005116710615978
ECB_20180722_pol,2018-07-22,low_rate,0,0.37129178576916677
ECB_20180703_acc,2018-07-03,low_rate,0,0.8947909776689817
ECB_20181007_pre,2018-10-07,low_rate,4,0.3740538259134354
ECB_20181002_pol,2018-10-02,low_rate,4,0.23003234795136412
ECB_20181015_acc,2018-10-15,low_rate,0,0.47881230990177587
ECB_20190101_pre,2019-01-01,low_rate,0,1.0
